season,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,venue,umpire1
2012,Delhi,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,0,5,Feroz Shah Kotla,BF Bowden
2012,Pune,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,Pune Warriors,0,7,Subrata Roy Sahara Stadium,Aleem Dar
2012,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,2,0,Eden Gardens,Asad Rauf
2012,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,59,0,M Chinnaswamy Stadium,JD Cloete
2012,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,7,Wankhede Stadium,BF Bowden
2012,Jaipur,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,0,5,Sawai Mansingh Stadium,Aleem Dar
2012,Bangalore,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,Royal Challengers Bangalore,0,6,M Chinnaswamy Stadium,S Asnani
2012,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,0,8,"Punjab Cricket Association Stadium, Mohali",JD Cloete
2012,Hyderabad,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,0,9,"Rajiv Gandhi International Stadium, Uppal",JD Cloete
2012,Chennai,Chennai Super Kings,Pune Warriors,Pune Warriors,field,Chennai Super Kings,13,0,"MA Chidambaram Stadium, Chepauk",Asad Rauf
2012,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,5,"Punjab Cricket Association Stadium, Mohali",S Ravi
2012,Chennai,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,0,7,"MA Chidambaram Stadium, Chepauk",Aleem Dar
2012,Delhi,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,Pune Warriors,20,0,Feroz Shah Kotla,Asad Rauf
2012,Mumbai,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,0,6,Wankhede Stadium,S Ravi
2012,Cuttack,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,5,Barabati Stadium,BF Bowden
2012,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,46,0,Sawai Mansingh Stadium,Asad Rauf
2012,Pune,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Delhi Daredevils,0,8,Subrata Roy Sahara Stadium,S Ravi
2012,Chandigarh,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,0,4,"Punjab Cricket Association Stadium, Mohali",Aleem Dar
2012,Pune,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Deccan Chargers,18,0,Subrata Roy Sahara Stadium,S Ravi
2012,Delhi,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils,37,0,Feroz Shah Kotla,Aleem Dar
2012,Chennai,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Kings XI Punjab,7,0,"MA Chidambaram Stadium, Chepauk",BF Bowden
2012,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,47,0,Eden Gardens,Asad Rauf
2012,Delhi,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,1,0,Feroz Shah Kotla,S Ravi
2012,Mumbai,Deccan Chargers,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,5,Wankhede Stadium,AK Chaudhary
2012,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,0,5,"MA Chidambaram Stadium, Chepauk",BF Bowden
2012,Cuttack,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Deccan Chargers,13,0,Barabati Stadium,Aleem Dar
2012,Jaipur,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Delhi Daredevils,0,6,Sawai Mansingh Stadium,JD Cloete
2012,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,4,M Chinnaswamy Stadium,BF Bowden
2012,Pune,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Mumbai Indians,1,0,Subrata Roy Sahara Stadium,Asad Rauf
2012,Chennai,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,10,0,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena
2012,Kolkata,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,7,0,Eden Gardens,BF Bowden
2012,Chandigarh,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,Rajasthan Royals,43,0,"Punjab Cricket Association Stadium, Mohali",JD Cloete
2012,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,2,Wankhede Stadium,Asad Rauf
2012,Bangalore,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,5,M Chinnaswamy Stadium,HDPK Dharmasena
2012,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,0,6,Feroz Shah Kotla,JD Cloete
2012,Pune,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,Rajasthan Royals,0,7,Subrata Roy Sahara Stadium,Asad Rauf
2012,Hyderabad,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Kings XI Punjab,25,0,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena
2012,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9,Wankhede Stadium,BF Bowden
2012,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,4,Sawai Mansingh Stadium,BNJ Oxenford
2012,Pune,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore,35,0,Subrata Roy Sahara Stadium,BF Bowden
2012,Kolkata,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,27,0,Eden Gardens,S Ravi
2012,Chennai,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,9,"MA Chidambaram Stadium, Chepauk",S Das
2012,Jaipur,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,Rajasthan Royals,45,0,Sawai Mansingh Stadium,BF Bowden
2012,Chandigarh,Deccan Chargers,Kings XI Punjab,Deccan Chargers,bat,Kings XI Punjab,0,4,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena
2012,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,5,M Chinnaswamy Stadium,S Das
2012,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,5,Eden Gardens,JD Cloete
2012,Delhi,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,Delhi Daredevils,0,5,Feroz Shah Kotla,HDPK Dharmasena
2012,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,32,0,Wankhede Stadium,S Das
2012,Dharamsala,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,6,Himachal Pradesh Cricket Association Stadium,VA Kulkarni
2012,Delhi,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,21,0,Feroz Shah Kotla,HDPK Dharmasena
2012,Hyderabad,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,Deccan Chargers,0,5,"Rajiv Gandhi International Stadium, Uppal",S Ravi
2012,Dharamsala,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,6,Himachal Pradesh Cricket Association Stadium,BF Bowden
2012,Pune,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,34,0,Subrata Roy Sahara Stadium,S Asnani
2012,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,9,0,"Rajiv Gandhi International Stadium, Uppal",S Ravi
2012,Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,0,10,Sawai Mansingh Stadium,HDPK Dharmasena
2012,Pune,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,18,0,Subrata Roy Sahara Stadium,BR Doctrove
2012,Bangalore,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,38,0,M Chinnaswamy Stadium,BF Bowden
2012,Chennai,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,86,0,"MA Chidambaram Stadium, Chepauk",BR Doctrove
2012,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,0,5,"MA Chidambaram Stadium, Chepauk",BF Bowden
2013,Kolkata,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6,Eden Gardens,S Ravi
2013,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,2,0,M Chinnaswamy Stadium,VA Kulkarni
2013,Hyderabad,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,Sunrisers Hyderabad,22,0,"Rajiv Gandhi International Stadium, Uppal",S Ravi
2013,Delhi,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Rajasthan Royals,5,0,Feroz Shah Kotla,S Das
2013,Chennai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,9,0,"MA Chidambaram Stadium, Chepauk",M Erasmus
2013,Pune,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,Kings XI Punjab,0,8,Subrata Roy Sahara Stadium,S Asnani
2013,Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,0,0,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary
2013,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,19,0,Sawai Mansingh Stadium,Aleem Dar
2013,Mumbai,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians,44,0,Wankhede Stadium,M Erasmus
2013,Chandigarh,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,10,"Punjab Cricket Association Stadium, Mohali",Aleem Dar
2013,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,8,M Chinnaswamy Stadium,Asad Rauf
2013,Pune,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,Pune Warriors,0,7,Subrata Roy Sahara Stadium,M Erasmus
2013,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,0,3,Feroz Shah Kotla,Aleem Dar
2013,Mumbai,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Mumbai Indians,41,0,Wankhede Stadium,S Ravi
2013,Chennai,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,4,"MA Chidambaram Stadium, Chepauk",Asad Rauf
2013,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,48,0,Eden Gardens,M Erasmus
2013,Jaipur,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,6,Sawai Mansingh Stadium,Aleem Dar
2013,Chennai,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Pune Warriors,24,0,"MA Chidambaram Stadium, Chepauk",Asad Rauf
2013,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,4,0,"Punjab Cricket Association Stadium, Mohali",CK Nandan
2013,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,0,M Chinnaswamy Stadium,M Erasmus
2013,Pune,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,Sunrisers Hyderabad,11,0,Subrata Roy Sahara Stadium,Asad Rauf
2013,Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,87,0,Sawai Mansingh Stadium,Aleem Dar
2013,Delhi,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,86,0,Feroz Shah Kotla,M Erasmus
2013,Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Sunrisers Hyderabad,0,5,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena
2013,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,0,4,Eden Gardens,Asad Rauf
2013,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7,M Chinnaswamy Stadium,Aleem Dar
2013,Delhi,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils,0,9,Feroz Shah Kotla,HDPK Dharmasena
2013,Chandigarh,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,7,"Punjab Cricket Association Stadium, Mohali",M Erasmus
2013,Chennai,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,0,5,"MA Chidambaram Stadium, Chepauk",S Asnani
2013,Bangalore,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore,130,0,M Chinnaswamy Stadium,Aleem Dar
2013,Dharamsala,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,7,0,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena
2013,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,0,5,Eden Gardens,HDPK Dharmasena
2013,Chennai,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,0,5,"MA Chidambaram Stadium, Chepauk",Aleem Dar
2013,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,0,6,Eden Gardens,CK Nandan
2013,Jaipur,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,0,8,Sawai Mansingh Stadium,VA Kulkarni
2013,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,58,0,Wankhede Stadium,Asad Rauf
2013,Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,14,0,"MA Chidambaram Stadium, Chepauk",Aleem Dar
2013,Raipur,Delhi Daredevils,Pune Warriors,Pune Warriors,field,Delhi Daredevils,15,0,Shaheed Veer Narayan Singh International Stadium,CK Nandan
2013,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,4,Sawai Mansingh Stadium,M Erasmus
2013,Mumbai,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Mumbai Indians,4,0,Wankhede Stadium,Asad Rauf
2013,Pune,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,Chennai Super Kings,37,0,Subrata Roy Sahara Stadium,S Das
2013,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,0,7,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf
2013,Raipur,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,0,7,Shaheed Veer Narayan Singh International Stadium,HDPK Dharmasena
2013,Chennai,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,15,0,"MA Chidambaram Stadium, Chepauk",M Erasmus
2013,Pune,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,17,0,Subrata Roy Sahara Stadium,Aleem Dar
2013,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,0,8,Eden Gardens,HDPK Dharmasena
2013,Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,0,6,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf
2013,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,7,M Chinnaswamy Stadium,HDPK Dharmasena
2013,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,60,0,Wankhede Stadium,HDPK Dharmasena
2013,Jaipur,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,Rajasthan Royals,0,5,Sawai Mansingh Stadium,C Shamshuddin
2013,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,0,7,M Chinnaswamy Stadium,S Ravi
2013,Jaipur,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,0,9,Sawai Mansingh Stadium,Aleem Dar
2013,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,65,0,Wankhede Stadium,HDPK Dharmasena
2013,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,77,0,"Rajiv Gandhi International Stadium, Uppal",S Das
2013,Chandigarh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,8,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena
2013,Pune,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,46,0,Subrata Roy Sahara Stadium,Asad Rauf
2013,Delhi,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,4,0,Feroz Shah Kotla,NJ Llong
2013,Pune,Pune Warriors,Mumbai Indians,Pune Warriors,bat,Mumbai Indians,0,5,Subrata Roy Sahara Stadium,Asad Rauf
2013,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,30,0,"Punjab Cricket Association Stadium, Mohali",S Das
2013,Ranchi,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,5,JSCA International Stadium Complex,NJ Llong
2013,Jaipur,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,5,Sawai Mansingh Stadium,HDPK Dharmasena
2013,Delhi,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,5,Feroz Shah Kotla,VA Kulkarni
2013,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,0,7,Wankhede Stadium,AK Chaudhary
2013,Ranchi,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Pune Warriors,7,0,JSCA International Stadium Complex,NJ Llong
2013,Chennai,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,33,0,"MA Chidambaram Stadium, Chepauk",C Shamshuddin
2013,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,14,0,Wankhede Stadium,Asad Rauf
2013,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,6,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni
2013,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,23,0,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf
2013,Dharamsala,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,50,0,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena
2013,Pune,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Pune Warriors,38,0,Subrata Roy Sahara Stadium,NJ Llong
2013,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,24,0,M Chinnaswamy Stadium,C Shamshuddin
2013,Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad,0,5,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf
2013,Delhi,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,48,0,Feroz Shah Kotla,NJ Llong
2013,Delhi,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,0,4,Feroz Shah Kotla,S Ravi
2013,Kolkata,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,0,4,Eden Gardens,C Shamshuddin
2013,Kolkata,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,23,0,Eden Gardens,HDPK Dharmasena
2014,Abu Dhabi,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,41,0,Sheikh Zayed Stadium,M Erasmus
2014,Sharjah,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,8,Sharjah Cricket Stadium,Aleem Dar
2014,Abu Dhabi,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Kings XI Punjab,0,6,Sheikh Zayed Stadium,RK Illingworth
2014,Abu Dhabi,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,4,Sheikh Zayed Stadium,BF Bowden
2014,,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7,Dubai International Cricket Stadium,Aleem Dar
2014,,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,0,4,Dubai International Cricket Stadium,Aleem Dar
2014,Sharjah,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,7,Sharjah Cricket Stadium,BF Bowden
2014,Abu Dhabi,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,93,0,Sheikh Zayed Stadium,RK Illingworth
2014,Sharjah,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab,72,0,Sharjah Cricket Stadium,M Erasmus
2014,,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,7,0,Dubai International Cricket Stadium,HDPK Dharmasena
2014,Sharjah,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,2,0,Sharjah Cricket Stadium,Aleem Dar
2014,,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,4,0,Dubai International Cricket Stadium,M Erasmus
2014,,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,0,7,Dubai International Cricket Stadium,BF Bowden
2014,Abu Dhabi,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,6,Sheikh Zayed Stadium,HDPK Dharmasena
2014,Abu Dhabi,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,23,0,Sheikh Zayed Stadium,HDPK Dharmasena
2014,Sharjah,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils,0,6,Sharjah Cricket Stadium,Aleem Dar
2014,Sharjah,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,0,5,Sharjah Cricket Stadium,AK Chaudhary
2014,,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,5,Dubai International Cricket Stadium,BF Bowden
2014,Abu Dhabi,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,0,0,Sheikh Zayed Stadium,Aleem Dar
2014,,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,15,0,Dubai International Cricket Stadium,HDPK Dharmasena
2014,Ranchi,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,34,0,JSCA International Stadium Complex,AK Chaudhary
2014,Mumbai,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,0,5,Wankhede Stadium,BNJ Oxenford
2014,Delhi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,7,Feroz Shah Kotla,SS Hazare
2014,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,4,M Chinnaswamy Stadium,HDPK Dharmasena
2014,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,10,0,"Sardar Patel Stadium, Motera",NJ Llong
2014,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,8,Feroz Shah Kotla,RM Deshpande
2014,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,19,0,Wankhede Stadium,S Ravi
