season,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,venue,umpire1
2014,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,0,8,Feroz Shah Kotla,BNJ Oxenford
2014,Cuttack,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,44,0,Barabati Stadium,HDPK Dharmasena
2014,Ahmedabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,32,0,"Sardar Patel Stadium, Motera",AK Chaudhary
2014,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,32,0,M Chinnaswamy Stadium,S Ravi
2014,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8,Feroz Shah Kotla,RM Deshpande
2014,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,4,Wankhede Stadium,HDPK Dharmasena
2014,Cuttack,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,9,Barabati Stadium,NJ Llong
2014,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Rajasthan Royals,0,5,M Chinnaswamy Stadium,S Ravi
2014,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,0,7,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena
2014,Ranchi,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,0,5,JSCA International Stadium Complex,BNJ Oxenford
2014,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,16,0,M Chinnaswamy Stadium,K Srinath
2014,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,6,"Rajiv Gandhi International Stadium, Uppal",VA Kulkarni
2014,Cuttack,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6,Barabati Stadium,AK Chaudhary
2014,Ahmedabad,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals,62,0,"Sardar Patel Stadium, Motera",S Ravi
2014,Ranchi,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore,0,5,JSCA International Stadium Complex,BNJ Oxenford
2014,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,7,"Rajiv Gandhi International Stadium, Uppal",NJ Llong
2014,Ahmedabad,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,25,0,"Sardar Patel Stadium, Motera",S Ravi
2014,Delhi,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,4,Feroz Shah Kotla,HDPK Dharmasena
2014,Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,0,7,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary
2014,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8,Eden Gardens,RM Deshpande
2014,Chandigarh,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,7,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena
2014,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,30,0,Eden Gardens,AK Chaudhary
2014,Ranchi,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,6,JSCA International Stadium Complex,BNJ Oxenford
2014,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,15,0,Wankhede Stadium,S Ravi
2014,Chandigarh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,16,0,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena
2014,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,8,M Chinnaswamy Stadium,AK Chaudhary
2014,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,4,Eden Gardens,RM Deshpande
2014,Chandigarh,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,7,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena
2014,Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,5,Wankhede Stadium,K Srinath
2014,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,28,0,Eden Gardens,NJ Llong
2014,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,7,Brabourne Stadium,VA Kulkarni
2014,Mumbai,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,24,0,Wankhede Stadium,HDPK Dharmasena
2014,Bangalore,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,3,M Chinnaswamy Stadium,HDPK Dharmasena
2015,Kolkata,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7,Eden Gardens,S Ravi
2015,Chennai,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,1,0,"MA Chidambaram Stadium, Chepauk",RK Illingworth
2015,Pune,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,26,0,Maharashtra Cricket Association Stadium,SD Fry
2015,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,45,0,"MA Chidambaram Stadium, Chepauk",RK Illingworth
2015,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,3,Eden Gardens,S Ravi
2015,Delhi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,3,Feroz Shah Kotla,SD Fry
2015,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,18,0,Wankhede Stadium,AK Chaudhary
2015,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8,M Chinnaswamy Stadium,RM Deshpande
2015,Ahmedabad,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,0,7,"Sardar Patel Stadium, Motera",AK Chaudhary
2015,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7,Eden Gardens,AK Chaudhary
2015,Pune,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,Delhi Daredevils,0,5,Maharashtra Cricket Association Stadium,CB Gaffaney
2015,Visakhapatnam,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,6,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak
2015,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,0,6,Wankhede Stadium,AK Chaudhary
2015,Visakhapatnam,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Delhi Daredevils,4,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak
2015,Pune,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,4,Maharashtra Cricket Association Stadium,SD Fry
2015,Ahmedabad,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,0,8,"Sardar Patel Stadium, Motera",AK Chaudhary
2015,Bangalore,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,18,0,M Chinnaswamy Stadium,RK Illingworth
2015,Delhi,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6,Feroz Shah Kotla,SD Fry
2015,Ahmedabad,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,0,"Sardar Patel Stadium, Motera",M Erasmus
2015,Visakhapatnam,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,16,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,RK Illingworth
2015,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings,27,0,M Chinnaswamy Stadium,JD Cloete
2015,Delhi,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils,37,0,Feroz Shah Kotla,SD Fry
2015,Ahmedabad,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9,"Sardar Patel Stadium, Motera",M Erasmus
2015,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,20,0,Wankhede Stadium,HDPK Dharmasena
2015,Chennai,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,97,0,"MA Chidambaram Stadium, Chepauk",JD Cloete
2015,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,10,Feroz Shah Kotla,M Erasmus
2015,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,20,0,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena
2015,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,13,0,Eden Gardens,AK Chaudhary
2015,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,0,0,M Chinnaswamy Stadium,JD Cloete
2015,Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,2,0,"MA Chidambaram Stadium, Chepauk",RM Deshpande
2015,Delhi,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,9,Feroz Shah Kotla,RK Illingworth
2015,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,8,0,Wankhede Stadium,HDPK Dharmasena
2015,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7,M Chinnaswamy Stadium,JD Cloete
2015,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,22,0,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary
2015,Chandigarh,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Mumbai Indians,23,0,"Punjab Cricket Association Stadium, Mohali",RK Illingworth
2015,Mumbai,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals,14,0,Brabourne Stadium,HDPK Dharmasena
2015,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,24,0,"MA Chidambaram Stadium, Chepauk",C Shamshuddin
2015,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,35,0,Eden Gardens,AK Chaudhary
2015,Mumbai,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Mumbai Indians,0,5,Wankhede Stadium,HDPK Dharmasena
2015,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,138,0,M Chinnaswamy Stadium,RK Illingworth
2015,Mumbai,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,7,0,Brabourne Stadium,JD Cloete
2015,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,0,6,"MA Chidambaram Stadium, Chepauk",CB Gaffaney
2015,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,0,1,Eden Gardens,AK Chaudhary
2015,Raipur,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,6,0,Shaheed Veer Narayan Singh International Stadium,VA Kulkarni
2015,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,39,0,Wankhede Stadium,JD Cloete
2015,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,12,0,"MA Chidambaram Stadium, Chepauk",M Erasmus
2015,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,5,0,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary
2015,Raipur,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,0,6,Shaheed Veer Narayan Singh International Stadium,RK Illingworth
2015,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,22,0,"Punjab Cricket Association Stadium, Mohali",JD Cloete
2015,Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,5,0,Wankhede Stadium,RK Illingworth
2015,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,0,6,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary
2015,Chandigarh,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,0,7,"Punjab Cricket Association Stadium, Mohali",CK Nandan
2015,Mumbai,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,9,0,Brabourne Stadium,RM Deshpande
2015,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,0,0,M Chinnaswamy Stadium,HDPK Dharmasena
2015,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,0,9,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney
2015,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,25,0,Wankhede Stadium,HDPK Dharmasena
2015,Pune,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,71,0,Maharashtra Cricket Association Stadium,AK Chaudhary
2015,Ranchi,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,3,JSCA International Stadium Complex,AK Chaudhary
2015,Kolkata,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,41,0,Eden Gardens,HDPK Dharmasena
2016,Mumbai,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Rising Pune Supergiants,0,9,Wankhede Stadium,HDPK Dharmasena
2016,Kolkata,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,9,Eden Gardens,S Ravi
2016,Chandigarh,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,5,"Punjab Cricket Association IS Bindra Stadium, Mohali",AK Chaudhary
2016,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,45,0,M Chinnaswamy Stadium,HDPK Dharmasena
2016,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,6,Eden Gardens,Nitin Menon
2016,Rajkot,Rising Pune Supergiants,Gujarat Lions,Rising Pune Supergiants,bat,Gujarat Lions,0,7,Saurashtra Cricket Association Stadium,VA Kulkarni
2016,Delhi,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,8,Feroz Shah Kotla,S Ravi
2016,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,8,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary
2016,Mumbai,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,3,Wankhede Stadium,HDPK Dharmasena
2016,Chandigarh,Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,bat,Kings XI Punjab,0,6,"Punjab Cricket Association IS Bindra Stadium, Mohali",S Ravi
2016,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,7,M Chinnaswamy Stadium,VA Kulkarni
2016,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,7,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena
2016,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6,"Punjab Cricket Association IS Bindra Stadium, Mohali",S Ravi
2016,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,6,Wankhede Stadium,AK Chaudhary
2016,Rajkot,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,10,Saurashtra Cricket Association Stadium,K Bharatan
2016,Pune,Royal Challengers Bangalore,Rising Pune Supergiants,Rising Pune Supergiants,field,Royal Challengers Bangalore,13,0,Maharashtra Cricket Association Stadium,CB Gaffaney
2016,Delhi,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils,10,0,Feroz Shah Kotla,S Ravi
2016,Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,5,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary
2016,Rajkot,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,bat,Gujarat Lions,0,6,Saurashtra Cricket Association Stadium,K Bharatan
2016,Pune,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,2,Maharashtra Cricket Association Stadium,CB Gaffaney
2016,Chandigarh,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,25,0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon
2016,Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,Rising Pune Supergiants,34,0,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar
2016,Delhi,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Gujarat Lions,1,0,Feroz Shah Kotla,M Erasmus
2016,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,6,Wankhede Stadium,Nitin Menon
2016,Pune,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,3,Maharashtra Cricket Association Stadium,CB Gaffaney
2016,Delhi,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Daredevils,27,0,Feroz Shah Kotla,KN Ananthapadmanabhan
2016,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,15,0,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary
2016,Rajkot,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Kings XI Punjab,23,0,Saurashtra Cricket Association Stadium,BNJ Oxenford
2016,Pune,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,8,Maharashtra Cricket Association Stadium,AY Dandekar
2016,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,5,M Chinnaswamy Stadium,M Erasmus
2016,Rajkot,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,8,Saurashtra Cricket Association Stadium,CB Gaffaney
2016,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,7,0,Eden Gardens,AK Chaudhary
2016,Delhi,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,Rising Pune Supergiants,0,7,Feroz Shah Kotla,C Shamshuddin
2016,Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,5,"Rajiv Gandhi International Stadium, Uppal",M Erasmus
2016,Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7,M Chinnaswamy Stadium,CB Gaffaney
2016,Chandigarh,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,9,0,"Punjab Cricket Association IS Bindra Stadium, Mohali",HDPK Dharmasena
2016,Visakhapatnam,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,85,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,S Ravi
2016,Kolkata,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,5,Eden Gardens,M Erasmus
2016,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,1,0,"Punjab Cricket Association IS Bindra Stadium, Mohali",AK Chaudhary
2016,Visakhapatnam,Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,4,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,CB Gaffaney
2016,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,6,M Chinnaswamy Stadium,AY Dandekar
2016,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,7,"Rajiv Gandhi International Stadium, Uppal",K Bharatan
2016,Visakhapatnam,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,0,7,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,HDPK Dharmasena
2016,Bangalore,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore,144,0,M Chinnaswamy Stadium,AY Dandekar
2016,Kolkata,Rising Pune Supergiants,Kolkata Knight Riders,Rising Pune Supergiants,bat,Kolkata Knight Riders,0,8,Eden Gardens,A Nand Kishore
2016,Chandigarh,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Sunrisers Hyderabad,0,7,"Punjab Cricket Association IS Bindra Stadium, Mohali",KN Ananthapadmanabhan
2016,Visakhapatnam,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,80,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Nitin Menon
2016,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9,Eden Gardens,CB Gaffaney
2016,Visakhapatnam,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,Rising Pune Supergiants,19,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Nitin Menon
2016,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,82,0,M Chinnaswamy Stadium,KN Ananthapadmanabhan
2016,Kanpur,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,6,Green Park,AK Chaudhary
2016,Raipur,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,6,Shaheed Veer Narayan Singh International Stadium,A Nand Kishore
2016,Visakhapatnam,Kings XI Punjab,Rising Pune Supergiants,Kings XI Punjab,bat,Rising Pune Supergiants,0,4,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,HDPK Dharmasena
2016,Kanpur,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,6,Green Park,AK Chaudhary
2016,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,22,0,Eden Gardens,KN Ananthapadmanabhan
2016,Raipur,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,6,Shaheed Veer Narayan Singh International Stadium,A Nand Kishore
2016,Bangalore,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,4,M Chinnaswamy Stadium,AK Chaudhary
2016,Delhi,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,22,0,Feroz Shah Kotla,M Erasmus
2016,Delhi,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,4,Feroz Shah Kotla,M Erasmus
2016,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,8,0,M Chinnaswamy Stadium,HDPK Dharmasena
